information__system,information__institution,information__storage_vendor,information__filesystem_type,information__client_nodes,information__client_total_procs,io500__score,io500__bw,io500__md,information__data,information__id,information__submitter,information__submission_date,information__embargo_end_date,information__storage_install_date,information__storage_refresh_date,information__filesystem_name,information__filesystem_version,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_storage_type,information__md_volatile_memory_capacity,information__md_storage_interface,information__md_network,information__md_software_version,information__md_operating_system_version,information__ds_nodes,information__ds_storage_devices,information__ds_storage_type,information__ds_volatile_memory_capacity,information__ds_storage_interface,information__ds_network,information__ds_software_version,information__ds_operating_system_version,information__note,information__best,io500__tot_iops,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__hard
Summit,Oak Ridge National Laboratory,IBM,Spectrum Scale,10,160,44.30,9.84,199.48,zip,2018-11-32,George Markomanolis,2018-11-09,,06/2018,,Alpine,5.x,16,RHEL,7.5,,154,211,NLSAS,4GB,12Gbit SAS,EDR InfiniBand,Spectrum Scale 5.x,RHEL 7.5,154,211,NLSAS,4GB,12Gbit SAS,EDR InfiniBand,Spectrum Scale 5.x,RHEL 7.5,,,123.23,218.32,145.40,0.16,1.87,29.07,1807.74,282.13,10.77,737.56,916.31,27.16,854.99
Palmetto,Clemson University,Dell,BeeGFS,10,10,7.14,2.32,22.05,zip,2018-11-33,Clemson ACI,2018-11-01,,01/2015,,scratch4,7.1,1,Oracle Linux,7.5,3.10.0-862.9.1.el7.x86_64,6,2,SSD,256GB,SATA,FDR InfiniBand,7.1,7.5,6,10,HDD,256GB,SATA,FDR InfiniBand,7.1,7.5,,,17.52,3.65,4.26,3.16,0.58,14.11,76.55,13.01,4.91,11.20,94.83,6.71,113.71
Apocrita,Queen Mary; University Of London,DDN,GPFS,10,240,3.44,0.87,13.56,zip,2018-11-34,Peter Childs,2018-11-07,,11/2016,01/2019,data2,4.2.3-8,24,CentOS,7.4,3.10.0-693.11.6.el7.x86_64,4,8,SSD,,SAS,40Gbps Ethernet,4.2.3-8,CentOS 7..3,4,21,HD,,SAS,40Gbps Ethernet,4.2.3-8,CentOS 7.3,,,9.15,2.24,2.17,0.29,0.41,10.60,68.56,21.92,3.21,4.50,5.89,3.49,241.80
nas6,Nemours,DDN,GPFS,1,2,2.06,1.39,3.04,zip,2018-11-35,Chris Pennington,2018-10-03,,,,GS7K,,2,,,,,,,,,,,,,,,,,,,,,true,3.95,3.28,2.88,0.33,1.19,4.87,3.30,1.94,4.08,1.22,1.47,0.83,38.96
ofsdev,Clemson University,Dell,BeeGFS,32,32,22.02,8.55,56.68,zip,2018-11-36,Clemson ACI,2018-08-03,,05/2012,08/2018,/mnt/beegfs,7,1,Oracle Linux,7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,FDR InfiniBand,7.0,7.4,16,12,HDD,16GB,SAS,FDR InfiniBand,7.0,7.4,,true,50.83,14.66,6.81,7.78,6.89,103.03,365.33,154.46,6.74,16.85,70.07,8.34,276.21
ofsdev,Clemson University,Dell,BeeGFS,16,128,11.01,1.90,63.81,zip,2018-11-37,Clemson ACI,2018-08-28,,04/2012,08/2018,ofsdev,7,8,Oracle Linux,7.5,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,FDR InfiniBand,7.0,7.5,16,12,HDD,16GB,SAS,FDR InfiniBand,7.0,7.5,,,33.31,10.85,9.22,0.07,1.94,165.71,496.44,259.75,6.19,19.73,56.46,6.09,305.81
Archer,EPCC,Seagate,Lustre,10,80,3.70,0.77,17.84,zip,2018-11-38,Julian Kunkel,2018-11-09,,,,work / fs2,,8,,,,1,,,,,Cray Aries,,,12,40,HDD,,,Cray Aries,,,,,10.52,10.53,5.22,0.01,0.78,16.78,60.79,4.75,8.43,6.71,39.80,3.66,256.63
Lustre on GCP,Google and DDN,Google,Lustre,10,80,12.82,4.30,38.23,zip,2018-11-39,Carlos Thomaz,2018-11-11,,11/18,,Exascaler 5.0 PRE - Lustre 2.11-56,Exascaler 5.0 PRE - Lustre 2.11-56 (Master),8,Exascaler,5.0 PRE - Centos 7x,3.10.0-862.14.4.el7_lustre.ddn0.x86_64,4,4,NVMe,60GB,NVMe,16Gbps Ethernet,Exascaler 5.0 PRE - Lustre 2.11-56,Centos 7.5,120,4,NVMe,60GB,NVMe,16Gbps Ethernet,Exascaler 5.0 PRE - Lustre 2.11-56,Centos 7.5,,,31.09,13.98,14.63,0.96,1.75,46.82,81.84,33.87,11.38,49.02,14.23,5.84,757.91
Palmetto,Clemson University,Dell,BeeGFS,32,128,6.26,1.25,31.42,zip,2018-11-40,Clemson ACI,2018-10-25,,01/2015,10/2018,scratch4,7.1,4,Oracle Linux,7.5,3.10.0-862.9.1.el7.x86_64,6,2,SSD,256GB,SATA,FDR InfiniBand,7.1,7.5,6,10,HDD,256GB,SATA,FDR InfiniBand,7.1,7.5,,,18.05,3.03,3.12,0.28,0.91,30.53,408.52,13.94,4.98,14.01,68.24,3.42,335.41
Data Accelerator,University of Cambridge,Dell EMC,BeeGFS,184,5888,74.58,58.81,94.57,zip,2018-11-41,University of Cambridge Research Computing Services,2018-10-25,,07/2018,,DAC,7.1,32,RHEL,7,3.10.0-862,8,1,NVMe,192,NVMe,OmniPath,7.1,RHEL 7,24,36,NVMe,192,NVMe,OmniPath,7.1,RHEL 7,,true,135.97,152.41,402.64,7.00,27.86,221.53,823.40,221.39,10.47,24.24,80.20,12.51,622.25
