200911,3,176545,Kraken XT5
200911,4,176321,JUGENE
200911,5,176546,Tianhe-1
200911,6,176547,Pleiades
200911,7,175171,BlueGene/L
200911,8,176322,Intrepid
200911,9,176183,Ranger
200911,10,176548,Red Sky
201006,1,176544,Jaguar
201006,2,176819,Nebulae
201006,3,176027,Roadrunner
201006,4,176545,Kraken XT5
201006,5,176321,JUGENE
201006,6,176898,Pleiades
201006,7,176546,Tianhe-1
201006,8,175171,BlueGene/L
201006,9,176322,Intrepid
201006,10,176924,Red Sky
201011,1,176929,Tianhe-1A
201011,2,176544,Jaguar
201011,3,176819,Nebulae
201011,4,176927,TSUBAME 2.0
201011,5,176952,Hopper
201011,6,176928,Tera-100
201011,7,176027,Roadrunner
201011,8,176545,Kraken XT5
201011,9,176321,JUGENE
201011,10,176951,Cielo
201106,1,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201106,2,176929,Tianhe-1A
201106,3,176544,Jaguar
201106,4,176819,Nebulae
201106,5,176927,TSUBAME 2.0
201106,6,177170,Cielo
201106,7,177259,Pleiades
201106,8,176952,Hopper
201106,9,176928,Tera-100
201106,10,176027,Roadrunner
201111,1,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201111,2,176929,Tianhe-1A
201111,3,176544,Jaguar
201111,4,176819,Nebulae
201111,5,176927,TSUBAME 2.0
201111,6,177170,Cielo
201111,7,177259,Pleiades
201111,8,176952,Hopper
201111,9,176928,Tera-100
201111,10,176027,Roadrunner
201206,1,177556,Sequoia
201206,2,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201206,3,177718,Mira
201206,4,177719,SuperMUC
201206,5,176929,Tianhe-1A
201206,6,176544,Jaguar
201206,7,177720,Fermi
201206,8,177722,JUQUEEN
201206,9,177818,Curie thin nodes
201206,10,176819,Nebulae
201211,1,177975,Titan
201211,2,177556,Sequoia
201211,3,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201211,4,177718,Mira
201211,5,177722,JUQUEEN
201211,6,177719,SuperMUC
201211,7,177931,Stampede
201211,8,176929,Tianhe-1A
201211,9,177720,Fermi
201211,10,177725,DARPA Trial Subset
201306,1,177999,Tianhe-2A
201306,2,177975,Titan
201306,3,177556,Sequoia
201306,4,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201306,5,177718,Mira
201306,6,177931,Stampede
201306,7,177722,JUQUEEN
201306,8,177732,Vulcan
201306,9,177719,SuperMUC
201306,10,176929,Tianhe-1A
201311,1,177999,Tianhe-2A
201311,2,177975,Titan
201311,3,177556,Sequoia
201311,4,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201311,5,177718,Mira
201311,6,177824,Piz Daint
201311,7,177931,Stampede
201311,8,177722,JUQUEEN
201311,9,177732,Vulcan
201311,10,177719,SuperMUC
201406,1,177999,Tianhe-2A
201406,2,177975,Titan
201406,3,177556,Sequoia
201406,4,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201406,5,177718,Mira
201406,6,177824,Piz Daint
201406,7,177931,Stampede
201406,8,177722,JUQUEEN
201406,9,177732,Vulcan
201406,10,178432,Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect
201411,1,177999,Tianhe-2A
201411,2,177975,Titan
201411,3,177556,Sequoia
201411,4,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201411,5,177718,Mira
201411,6,177824,Piz Daint
201411,7,177931,Stampede
201411,8,177722,JUQUEEN
201411,9,177732,Vulcan
201411,10,178445,Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40
201506,1,177999,Tianhe-2A
201506,2,177975,Titan
201506,3,177556,Sequoia
201506,4,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201506,5,177718,Mira
201506,6,177824,Piz Daint
201506,7,178515,Shaheen II
201506,8,177931,Stampede
201506,9,177722,JUQUEEN
201506,10,177732,Vulcan
201511,1,177999,Tianhe-2A
201511,2,177975,Titan
201511,3,177556,Sequoia
201511,4,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201511,5,177718,Mira
201511,6,178610,Trinity
201511,7,177824,Piz Daint
201511,8,178446,Hazel Hen
201511,9,178515,Shaheen II
201511,10,177931,Stampede
201606,1,178764,Sunway TaihuLight
201606,2,177999,Tianhe-2A
201606,3,177975,Titan
201606,4,177556,Sequoia
201606,5,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201606,6,177718,Mira
201606,7,178610,Trinity
201606,8,177824,Piz Daint
201606,9,178446,Hazel Hen
201606,10,178515,Shaheen II
201611,1,178764,Sunway TaihuLight
201611,2,177999,Tianhe-2A
201611,3,177975,Titan
201611,4,177556,Sequoia
201611,5,178924,Cori
201611,6,178932,Oakforest-PACS
201611,7,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201611,8,177824,Piz Daint
201611,9,177718,Mira
201611,10,178610,Trinity
201706,1,178764,Sunway TaihuLight
201706,2,177999,Tianhe-2A
201706,3,177824,Piz Daint
201706,4,177975,Titan
201706,5,177556,Sequoia
201706,6,178924,Cori
201706,7,178932,Oakforest-PACS
201706,8,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201706,9,177718,Mira
201706,10,178610,Trinity
201711,1,178764,Sunway TaihuLight
201711,2,177999,Tianhe-2A
201711,3,177824,Piz Daint
201711,4,179102,Gyoukou
201711,5,177975,Titan
201711,6,177556,Sequoia
201711,7,178610,Trinity
201711,8,178924,Cori
201711,9,178932,Oakforest-PACS
201711,10,177232,K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect
201806,1,179397,Summit
201806,2,178764,Sunway TaihuLight
201806,3,179398,Sierra
201806,4,177999,Tianhe-2A
201806,5,179393,AI Bridging Cloud Infrastructure (ABCI)
201806,6,177824,Piz Daint
201806,7,177975,Titan
201806,8,177556,Sequoia
201806,9,178610,Trinity
201806,10,178924,Cori
201811,1,179397,Summit
201811,2,179398,Sierra
201811,3,178764,Sunway TaihuLight
201811,4,177999,Tianhe-2A
201811,5,177824,Piz Daint
201811,6,178610,Trinity
201811,7,179393,AI Bridging Cloud Infrastructure (ABCI)
201811,8,179566,SuperMUC-NG
201811,9,177975,Titan
201811,10,177556,Sequoia
